,batter_name,pitcher_name,avg_ev,avg_la
726576,Sam Huff,Aaron Nola,90.16924836777858,10.973475750850717
735231,Bryan De La Cruz,Max Scherzer,90.16351124224302,9.230346604413246
735622,Brendan Rodgers,Blake Snell,90.12135279149555,4.697425350477105
726581,Kole Calhoun,Aaron Nola,90.1062713182692,13.071551570400418
741863,Dansby Swanson,Patrick Corbin,90.10106644691304,16.165982220138456
723972,Andrew McCutchen,Marcus Stroman,90.07378687774991,12.568907223972253
622443,Lourdes Gurriel Jr.,Miles Mikolas,90.0702512813793,11.39812632087056
328207,Trevor Larnach,Zack Greinke,90.06303523788507,12.948064372521273
741843,William Contreras,Patrick Corbin,90.02647772407613,5.921731367481535
742388,Eugenio Suarez,Shane Bieber,90.01893752627481,18.58054531393261
741846,Orlando Arcia,Patrick Corbin,90.01880953637358,10.04802270917092
732533,Ian Happ,Corbin Burnes,90.0138668026585,10.885011104569651
729476,Mike Brosseau,Marcus Stroman,89.99098930425349,16.132807462400105
737520,George Springer,Miles Mikolas,89.9474462332749,12.80220682584305
470100,Trey Mancini,Corey Kluber,89.9302801175743,10.260669009826403
428260,Daniel Vogelbach,Hunter Greene,89.9223162979043,19.100103720874667
566400,Jared Walsh,Kyle Muller,89.92032319504288,11.181998272401135
187989,Yu Chang,Luis Castillo,89.91310886015157,16.77822121882685
731703,Anthony Santander,Corey Kluber,89.90857343738448,23.633465311514765
714081,Rob Refsnyder,Kyle Gibson,89.83039749317805,13.087408961203376
457369,Tyler Naquin,Mitch Keller,89.80464991781318,13.619533944276549
726289,Corey Seager,Aaron Nola,89.7996592523642,13.643581379682605
734245,J.D. Martinez,Kyle Gibson,89.75829633255464,16.665009748530892
742630,Kyle Higashioka,Logan Webb,89.75319803739008,15.779381298833522
732959,Bobby Witt Jr.,Pablo Lopez,89.72192818002614,16.90602050162129
475155,Luke Voit,German Marquez,89.7055868709753,19.033748575540862
742949,Max Muncy,Zac Gallen,89.68646140509996,19.28649536442688
735232,Nick Fortes,Max Scherzer,89.66813415640868,17.040002027040117
734724,Gio Urshela,Zack Greinke,89.62578543766838,11.875056936315248
742261,Kyle Tucker,Dylan Cease,89.61911772275477,17.57640706990378
457967,Joey Gallo,Logan Webb,89.6074374700382,24.672806729399397
729487,Hunter Renfroe,Marcus Stroman,89.58637045141772,15.453233192533535
735625,Elehuris Montero,Blake Snell,89.58398018876659,14.294827433112687
732240,Diego Castillo,Hunter Greene,89.57813735353044,11.974791724214867
347503,Jazz Chisholm Jr.,Max Scherzer,89.57317508026658,15.130711748151734
732674,Nelson Velazquez,Corbin Burnes,89.55377777815515,13.21364580049724
580570,Bligh Madris,Hunter Greene,89.50928566041684,10.883220452323101
714666,Vimael Machin,Shohei Ohtani,89.50398059555297,9.246907368673472
742827,Josh Naylor,Luis Castillo,89.4744384014252,9.120390716804158
742648,Anthony Rizzo,Logan Webb,89.46428185106473,20.626023900402654
730715,Elias Diaz,Blake Snell,89.43224451731639,11.299086474688599
742944,Will Smith,Zac Gallen,89.40752967270423,21.63052237631551
390310,Christian Bethancourt,Shohei Ohtani,89.38080141044512,9.52502304462007
453710,Andrew Benintendi,Pablo Lopez,89.35499457648196,15.242904524840492
737577,Alejandro Kirk,Miles Mikolas,89.3403564058366,8.204420420071315
735775,Joey Gallo,Zac Gallen,89.31729735324944,23.300036968823395
732790,Donovan Solano,Mitch Keller,89.31100567867614,11.939529800839031
531726,Joey Votto,Mitch Keller,89.30474720187267,15.587797639941652
735477,Willy Adames,Marcus Stroman,89.29596418719345,21.45299202329877
742822,Amed Rosario,Luis Castillo,89.28581602623326,3.9708516618655127
732696,Patrick Wisdom,Corbin Burnes,89.27708792355223,21.78394016552273
742961,Cody Bellinger,Zac Gallen,89.23488719869222,20.268981905972044
734649,Luis Arraez,Zack Greinke,89.22328389303115,13.37138127875909
734278,Alex Verdugo,Kyle Gibson,89.21709831834865,11.423453958330253
736281,Paul DeJong,Alek Manoah,89.19778331504519,23.948823139956517
