,batter_name,batter_team,pitcher_name,avg_ev,avg_la
720620,Vimael Machin,OAK,Patrick Sandoval,89.66756392655134,6.961947627501398
193943,Yu Chang,CLE,Logan Gilbert,89.66356224903687,17.220476591309925
345182,Yu Chang,PIT,Nick Lodolo,89.65306467365163,17.70612012778912
463921,Joey Gallo,NYY,Alex Cobb,89.63990063431508,24.02695637749872
737657,Anthony Santander,BAL,Chris Sale,89.61593142682007,25.136249896898505
481109,Luke Voit,SD,Jose Urena,89.6055059470206,18.83599146086879
1039,Brian Anderson,MIL,Justin Steele,89.55790402422862,8.895659252013614
748602,Anthony Rizzo,NYY,Alex Cobb,89.54089750232545,21.16103596776039
396264,Christian Bethancourt,OAK,Patrick Sandoval,89.47160438656259,8.838752394946493
741289,Pavin Smith,ARI,Clayton Kershaw,89.44857135898837,14.023225942143567
2653,Kyle Farmer,MIN,Jordan Lyles,89.43707330104999,9.594126943634425
740603,Luis Arraez,MIN,Jordan Lyles,89.42715032065969,14.86210474147278
747982,Nick Castellanos,PHI,Nathan Eovaldi,89.42667421515739,14.772055307548653
748903,Max Muncy,LAD,Madison Bumgarner,89.40625772081123,16.125188081016535
640993,Trevor Story,BOS,Dean Kremer,89.39720624964362,12.362761239554805
930,Justin Turner,BOS,Dean Kremer,89.37937575685156,11.368982669380467
660168,Kevin Plawecki,BOS,Dean Kremer,89.33868804648418,11.72092205406351
748218,Yuli Gurriel,HOU,Lucas Giolito,89.33053127995545,13.474488820644611
748584,Kyle Higashioka,NYY,Alex Cobb,89.31619328476536,13.332023029768301
4593,Tommy Pham,NYM,Edward Cabrera,89.30621702316313,2.0766840721460182
740232,Alex Verdugo,BOS,Dean Kremer,89.3025805427541,17.207051922808787
738062,Andrew Knizner,STL,Kevin Gausman,89.3008438651313,11.884486801956927
747026,Jose Trevino,NYY,Alex Cobb,89.27004544613729,6.88969393540045
196904,Ildemaro Vargas,CHC,Brandon Woodruff,89.25265153287498,6.080898587695948
738809,Matt Reynolds,CIN,Rich Hill,89.25101657868102,6.082005220398095
748781,Josh Naylor,CLE,Logan Gilbert,89.22017611149221,9.739961152391972
738203,Jack Suwinski,PIT,Nick Lodolo,89.20416321319307,12.477581289115193
727911,Michael A. Taylor,KC,Sonny Gray,89.2010787769336,6.403628063364733
628397,Lourdes Gurriel Jr.,TOR,Jack Flaherty,89.18640366226016,11.307342021365962
738915,Vinnie Pasquantino,KC,Sonny Gray,89.17896510954485,23.508747299616594
427239,Tyler Stephenson,CIN,Rich Hill,89.1765895658081,14.383565056843924
478626,Brandon Drury,CIN,Rich Hill,89.17297535521168,13.048962710444671
4740,Yuli Gurriel,MIA,Tylor Megill,89.16614712001059,11.087744341236286
748881,Chris Taylor,LAD,Madison Bumgarner,89.14113131678785,21.318531334117996
748480,Julio Rodriguez,SEA,Aaron Civale,89.11275272422534,14.773812688286373
737905,Stephen Vogt,OAK,Patrick Sandoval,89.08774739149739,21.58825076818671
749067,Wil Myers,SD,Jose Urena,89.05141876539274,11.985461392705147
738307,DJ LeMahieu,NYY,Alex Cobb,89.03935751530331,3.2794528679397104
459664,Andrew Benintendi,KC,Sonny Gray,89.03369476569651,18.964638258802843
741178,Jon Berti,MIA,Tylor Megill,89.02642649187194,2.418695600250854
445881,Adam Duvall,ATL,Josiah Gray,89.01435157491697,14.566790252132202
747495,Austin Barnes,LAD,Madison Bumgarner,89.01376633282811,15.795778892217248
738601,Nico Hoerner,CHC,Brandon Woodruff,89.00197840055522,12.19063715783343
1185,Cody Bellinger,CHC,Brandon Woodruff,88.9916141113271,19.426278565617963
747830,Travis d'Arnaud,ATL,Josiah Gray,88.95620479420883,14.308579070886474
748898,Will Smith,LAD,Madison Bumgarner,88.94338826840377,25.125897952350652
540440,Elvis Andrus,OAK,Patrick Sandoval,88.88018632350229,14.466382033044093
741579,Elehuris Montero,COL,Michael Wacha,88.87205120793075,14.671616795576274
537680,Joey Votto,CIN,Rich Hill,88.83079840129213,17.54881716732488
5773,Josh Bell,CLE,Logan Gilbert,88.81552870239162,10.545567374122554
661657,Ramon Laureano,OAK,Patrick Sandoval,88.8057962406278,17.50525968137467
748918,Gavin Lux,LAD,Madison Bumgarner,88.80131779625322,6.99654553558242
5589,Miguel Rojas,LAD,Madison Bumgarner,88.80016964752231,9.722696593644981
5574,J.D. Martinez,LAD,Madison Bumgarner,88.79709400280048,14.57961491882553
683658,Sheldon Neuse,OAK,Patrick Sandoval,88.78246624411496,1.2462303803934767
747791,Michael Harris II,ATL,Josiah Gray,88.77376924803066,0.6281569360954243
747068,Matt Carpenter,NYY,Alex Cobb,88.77011996282317,20.056724040910645
2287,Brandon Belt,TOR,Jack Flaherty,88.7036433635222,20.753943621737736
749081,Austin Nola,SD,Jose Urena,88.69190376482872,10.447213365202009
617998,Franchy Cordero,BOS,Dean Kremer,88.66287406434145,10.762540943150714
5319,Matt Carpenter,SD,Jose Urena,88.64755411159824,20.945881330159175
333725,Jonathan Villar,CHC,Brandon Woodruff,88.64639276157024,-1.9425972668919378
748066,Trey Mancini,HOU,Lucas Giolito,88.58677316585913,12.148166690332523
338492,Jason Heyward,CHC,Brandon Woodruff,88.58048603420697,20.05558826400341
748785,Oscar Gonzalez,CLE,Logan Gilbert,88.55695962620193,6.240407492297667
939,Adam Duvall,BOS,Dean Kremer,88.55284716148802,23.196004635959767
2334,Kevin Kiermaier,TOR,Jack Flaherty,88.54884703605596,11.25754182463863
744177,Nolan Arenado,STL,Kevin Gausman,88.52969291045714,23.320396887068664
734986,Avisail Garcia,MIA,Tylor Megill,88.52002438159306,7.094724122179847
741582,Michael Toglia,COL,Michael Wacha,88.51693008734763,19.476557136716714
734991,Brian Anderson,MIA,Tylor Megill,88.49855838063827,5.577907757849857
300738,Austin Meadows,DET,Zach Eflin,88.46103777673837,20.743411900852085
736668,C.J. Cron,COL,Michael Wacha,88.44529711308367,17.57450842103039
5943,Cooper Hummel,SEA,Aaron Civale,88.43476726921524,7.477579677786533
735441,Hunter Renfroe,MIL,Justin Steele,88.422134049837,12.025620682280913
732535,Kole Calhoun,TEX,Zack Wheeler,88.412737117085,5.009885158650768
458972,Mike Ford,ATL,Josiah Gray,88.41020315229918,12.484460192422723
731559,Alan Trejo,COL,Michael Wacha,88.3880931620895,13.048174603174603
743514,Jackie Bradley Jr.,TOR,Jack Flaherty,88.3504298433353,9.948792040118839
747966,Jean Segura,PHI,Nathan Eovaldi,88.32432078147544,6.629769612939963
4001,Jesus Aguilar,OAK,Patrick Sandoval,88.2754110525723,19.11070266621296
740227,Yu Chang,BOS,Dean Kremer,88.22638071188071,12.356149888653377
737358,Adley Rutschman,BAL,Chris Sale,88.22190155271922,16.65976533978689
747277,Robbie Grossman,ATL,Josiah Gray,88.20571593791539,19.58192536577974
280120,Kevin Smith,OAK,Patrick Sandoval,88.17775234134557,14.120971506882322
744421,Francisco Lindor,NYM,Edward Cabrera,88.16217627276711,16.050596001406827
694053,Michael Chavis,PIT,Nick Lodolo,88.16214861863254,7.471710134367824
741165,Charles Leblanc,MIA,Tylor Megill,88.15159694702254,16.068287804964175
741176,Lewin Diaz,MIA,Tylor Megill,88.12325104331153,13.957281304717554
737511,Cavan Biggio,TOR,Jack Flaherty,88.07718178066077,20.375141910760178
5170,Harold Castro,COL,Michael Wacha,88.05650695240593,14.190611373026806
743557,Raimel Tapia,TOR,Jack Flaherty,88.0561399208147,8.082448646037728
2350,Daulton Varsho,TOR,Jack Flaherty,88.02981448346277,17.303996629516558
505498,Frank Schwindel,CHC,Brandon Woodruff,88.00286161780558,8.666286226318485
570859,Jesus Aguilar,MIA,Tylor Megill,87.98258828579715,13.292606315825816
738458,Josh H. Smith,TEX,Zack Wheeler,87.97453153458908,16.788334347807165
730810,Jonah Bride,OAK,Patrick Sandoval,87.94741564928735,8.86121720425802
744436,Daniel Vogelbach,NYM,Edward Cabrera,87.94232623594847,25.9841025739602
736248,Cristian Pache,OAK,Patrick Sandoval,87.9130873105777,2.608071935326837
732243,Corey Seager,TEX,Zack Wheeler,87.89434787304323,14.39601450351751
744439,Eduardo Escobar,NYM,Edward Cabrera,87.88223489037856,20.445514875560782
735770,Jose Miranda,MIN,Jordan Lyles,87.8498912030604,7.96948587655092
737928,Seth Brown,OAK,Patrick Sandoval,87.81727288428976,16.85619051944443
5295,Xander Bogaerts,SD,Jose Urena,87.80184111672882,16.37323242536529
612654,Josh VanMeter,PIT,Nick Lodolo,87.77226397786555,12.634880458302757
747967,Brandon Marsh,PHI,Nathan Eovaldi,87.72024148381624,14.615182865742733
743835,Darin Ruf,NYM,Edward Cabrera,87.71146000042977,15.593998203256836
5311,Nelson Cruz,SD,Jose Urena,87.6800874201786,15.57017710863808
4495,Tommy La Stella,SEA,Aaron Civale,87.67835546967294,10.220747867494264
2661,Christian Vazquez,MIN,Jordan Lyles,87.6764334892272,11.63876020979741
740220,Enrique Hernandez,BOS,Dean Kremer,87.66543836027913,13.602499693289166
746351,Jake Meyers,HOU,Lucas Giolito,87.66039691849369,8.938230735092848
739911,Jorge Alfaro,SD,Jose Urena,87.65751504592969,7.220318484176578
565878,Mike Moustakas,CIN,Rich Hill,87.65017353911026,20.84417101340225
475894,Jackie Bradley Jr.,BOS,Dean Kremer,87.62368782275529,17.949078018113212
740246,Christian Arroyo,BOS,Dean Kremer,87.62002044513459,10.770938040287884
427578,Dominic Smith,NYM,Edward Cabrera,87.58844576437541,7.224666280403551
404210,Mitch Garver,TEX,Zack Wheeler,87.55523136645964,14.347006458453825
748193,Chas McCormick,HOU,Lucas Giolito,87.54174579728459,17.503111241154873
740192,Xander Bogaerts,BOS,Dean Kremer,87.53943629163791,4.920669661489032
739468,Akil Baddoo,DET,Zach Eflin,87.53060037575882,19.396431158295567
737876,Chad Pinder,OAK,Patrick Sandoval,87.51494391880647,12.339827320976516
744431,Mark Canha,NYM,Edward Cabrera,87.51107131053402,11.233634730630467
734407,Ben Gamel,PIT,Nick Lodolo,87.50964731107533,10.87883990647345
741444,Jace Peterson,MIL,Justin Steele,87.48541930684242,5.9117268684108
1056,Jesse Winker,MIL,Justin Steele,87.46416717208156,16.41227899819405
748197,Christian Vazquez,HOU,Lucas Giolito,87.4604171254281,13.629067300834492
1784,Robbie Grossman,TEX,Zack Wheeler,87.39312770713482,15.012391572071106
737666,Jesus Aguilar,BAL,Chris Sale,87.38606434427378,13.691686404800615
747806,Eddie Rosario,ATL,Josiah Gray,87.3782689802377,15.401438436449046
743531,Alejandro Kirk,TOR,Jack Flaherty,87.36973123173304,7.6425065865321855
704074,Ramon Urias,BAL,Chris Sale,87.3277178312517,7.539429096744238
748457,Dylan Moore,SEA,Aaron Civale,87.30746124599264,21.478824575807337
737914,Dermis Garcia,OAK,Patrick Sandoval,87.29717948717948,11.102960372960373
9279,Isaac Paredes,DET,Zach Eflin,87.29712035169513,16.08403144044121
